id_matricula,id_turma,id_aluno,data_matricula,situacao,data_situacao
721,1,72,2021-06-14,Finalizado,2021-11-01
722,2,72,2021-03-08,Finalizado,2021-06-21
732,2,73,2021-03-08,Finalizado,2021-06-21
745,5,74,2020-06-08,Finalizado,2020-10-12
743,3,74,2020-05-25,Finalizado,2020-09-28
752,2,75,2021-03-08,Trancado,2021-03-16
763,3,76,2020-05-25,Finalizado,2020-09-28
773,3,77,2020-05-25,Evadido,2020-09-15
771,1,77,2021-06-14,Evadido,2021-06-25
792,2,79,2021-03-08,Finalizado,2021-06-21
793,3,79,2020-05-25,Finalizado,2020-09-28
803,3,80,2020-05-25,Evadido,2020-07-24
802,2,80,2021-03-08,Finalizado,2021-06-21
814,4,81,2021-03-01,Trancado,2021-05-07
823,3,82,2020-05-25,Finalizado,2020-09-28
821,1,82,2021-06-14,Finalizado,2021-11-01
833,3,83,2020-05-25,Evadido,2020-06-13
841,1,84,2021-06-14,Finalizado,2021-11-01
852,2,85,2021-03-08,Evadido,2021-05-16
863,3,86,2020-05-25,Finalizado,2020-09-28
865,5,86,2020-06-08,Finalizado,2020-10-12
883,3,88,2020-05-25,Finalizado,2020-09-28
895,5,89,2020-06-08,Evadido,2020-07-24
902,2,90,2021-03-08,Evadido,2021-06-03
903,3,90,2020-05-25,Finalizado,2020-09-28
912,2,91,2021-03-08,Trancado,2021-04-29
912,2,91,2021-03-08,Trancado,2021-04-29
922,2,92,2021-03-08,Finalizado,2021-06-21
932,2,93,2021-03-08,Finalizado,2021-06-21
934,4,93,2021-03-01,Evadido,2021-06-07
954,4,95,2021-03-01,Finalizado,2021-06-21
953,3,95,2020-05-25,Evadido,2020-08-15
964,4,96,2021-03-01,Evadido,2021-05-29
961,1,96,2021-06-14,Finalizado,2021-11-01
975,5,97,2020-06-08,Trancado,2020-06-17
971,1,97,2021-06-14,Finalizado,2021-11-01
985,5,98,2020-06-08,Cancelado,2020-10-08
981,1,98,2021-06-14,Evadido,2021-08-17
994,4,99,2021-03-01,Finalizado,2021-06-21
1001,1,100,2021-06-14,Finalizado,2021-11-01
1002,2,100,2021-03-08,Finalizado,2021-06-21
1015,5,101,2020-06-08,Trancado,2020-07-16
1022,2,102,2021-03-08,Evadido,2021-04-26
1052,2,105,2021-03-08,Finalizado,2021-06-21
1062,2,106,2021-03-08,Finalizado,2021-06-21
1065,5,106,2020-06-08,Finalizado,2020-10-12
1072,2,107,2021-03-08,Finalizado,2021-06-21
1093,3,109,2020-05-25,Evadido,2020-08-10
1092,2,109,2021-03-08,Evadido,2021-06-05
1115,5,111,2020-06-08,Finalizado,2020-10-12
1123,3,112,2020-05-25,Finalizado,2020-09-28
1132,2,113,2021-03-08,Finalizado,2021-06-21
1141,1,114,2021-06-14,Finalizado,2021-11-01
1144,4,114,2021-03-01,Evadido,2021-04-27
1152,2,115,2021-03-08,Finalizado,2021-06-21
1155,5,115,2020-06-08,Finalizado,2020-10-12
1165,5,116,2020-06-08,Trancado,2020-10-08
1172,2,117,2021-03-08,Evadido,2021-03-21
1182,2,118,2021-03-08,Finalizado,2021-06-21
1195,5,119,2020-06-08,Evadido,2020-10-02
1194,4,119,2021-03-01,Finalizado,2021-06-21
1201,1,120,2021-06-14,Finalizado,2021-11-01
1214,4,121,2021-03-01,Evadido,2021-04-21
1211,1,121,2021-06-14,Finalizado,2021-11-01
1223,3,122,2020-05-25,Finalizado,2020-09-28
1224,4,122,2021-03-01,Finalizado,2021-06-21
1234,4,123,2021-03-01,Evadido,2021-05-04
1231,1,123,2021-06-14,Finalizado,2021-11-01
1252,2,125,2021-03-08,Finalizado,2021-06-21
1274,4,127,2021-03-01,Finalizado,2021-06-21
1273,3,127,2020-05-25,Finalizado,2020-09-28
1285,5,128,2020-06-08,Cancelado,2020-08-07
1294,4,129,2021-03-01,,2021-06-21
1295,5,129,2020-06-08,Evadido,2020-09-17
1303,3,130,2020-05-25,Evadido,2020-08-06
1311,1,131,2021-06-14,Evadido,2021-09-04
1315,5,131,2020-06-08,Evadido,2020-07-03
1321,1,132,2021-06-14,Finalizado,2021-11-01
1334,4,133,2021-03-01,Finalizado,2021-06-21
1335,5,133,2020-06-08,Finalizado,2020-10-12
1342,2,134,2021-03-08,Finalizado,2021-06-21
1354,4,135,2021-03-01,Evadido,2021-04-28
1362,2,136,2021-03-08,Finalizado,2021-06-21
1375,5,137,2020-06-08,Finalizado,2020-10-12
1371,1,137,2021-06-14,Finalizado,2021-11-01
1381,1,138,2021-06-14,Finalizado,2021-11-01
1392,2,139,2021-03-08,Finalizado,2021-06-21
1394,4,139,2021-03-01,Finalizado,2021-06-21
1414,4,141,2021-03-01,Finalizado,2021-06-21
1411,1,141,2021-06-14,Evadido,2021-09-12
1421,1,142,2021-06-14,Finalizado,2021-11-01
1422,2,142,2021-03-08,Trancado,2021-06-10
1434,4,143,2021-03-01,Evadido,2021-03-24
1433,3,143,2020-05-25,Evadido,2020-08-20
1443,3,144,2020-05-25,Finalizado,2020-09-28
1442,2,144,2021-03-08,Finalizado,2021-06-21
1454,4,145,2021-03-01,Finalizado,2021-06-21
1463,3,146,2020-05-25,Finalizado,2020-09-28
1471,1,147,2021-06-14,Finalizado,2021-11-01
1472,2,147,2021-03-08,Evadido,2021-04-17
1482,2,148,2021-03-08,Finalizado,2021-06-21
1484,4,148,2021-03-01,Finalizado,2021-06-21
1505,5,150,2020-06-08,Finalizado,2020-10-12
1501,1,150,2021-06-14,Finalizado,2021-11-01
1512,2,151,2021-03-08,Finalizado,2021-06-21
1515,5,151,2020-06-08,Finalizado,2020-10-12
1521,1,152,2021-06-14,Finalizado,2021-11-01
1524,4,152,2021-03-01,Finalizado,2021-06-21
1531,1,153,2021-06-14,Finalizado,2021-11-01
1544,4,154,2021-03-01,Finalizado,2021-06-21
1543,3,154,2020-05-25,Trancado,2020-08-06
1551,1,155,2021-06-14,Evadido,2021-08-15
1554,4,155,2021-03-01,Finalizado,2021-06-21
1565,5,156,2020-06-08,Evadido,2020-07-30
1562,2,156,2021-03-08,Finalizado,2021-06-21
1571,1,157,2021-06-14,Finalizado,2021-11-01
1581,1,158,2021-06-14,Finalizado,2021-11-01
1593,3,159,2020-05-25,Finalizado,2020-09-28
1592,2,159,2021-03-08,Finalizado,2021-06-21
1601,1,160,2021-06-14,Evadido,2021-09-03
1603,3,160,2020-05-25,Finalizado,2020-09-28
1613,3,161,2020-05-25,Finalizado,2020-09-28
1614,4,161,2021-03-01,Evadido,2021-06-19
1625,5,162,2020-06-08,Finalizado,2020-10-12
1622,2,162,2021-03-08,Finalizado,2021-06-21
1632,2,163,2021-03-08,Finalizado,2021-06-21
1635,5,163,2020-06-08,Evadido,2020-08-31
1644,4,164,2021-03-01,Finalizado,2021-06-21
1652,2,165,2021-03-08,Cancelado,2021-04-19
1653,3,165,2020-05-25,Finalizado,2020-09-28
1671,1,167,2021-06-14,Evadido,2021-06-17
1682,2,168,2021-03-08,Evadido,2021-03-27
1693,3,169,2020-05-25,Evadido,2020-08-30
1704,4,170,2021-03-01,Evadido,2021-04-02
1712,2,171,2021-03-08,Finalizado,2021-06-21
1724,4,172,2021-03-01,Evadido,2021-04-22
1723,3,172,2020-05-25,Evadido,2020-09-28
1735,5,173,2020-06-08,Finalizado,2020-10-12
1745,5,174,2020-06-08,Trancado,2020-08-31
1744,4,174,2021-03-01,Finalizado,2021-06-21
1753,3,175,2020-05-25,Finalizado,2020-09-28
1765,5,176,2020-06-08,Trancado,2020-06-22
1763,3,176,2020-05-25,Finalizado,2020-09-28
1771,1,177,2021-06-14,Trancado,2021-06-19
1773,3,177,2020-05-25,Finalizado,2020-09-28
1785,5,178,2020-06-08,Finalizado,2020-10-12
1782,2,178,2021-03-08,Evadido,2021-06-04
1792,2,179,2021-03-08,Evadido,2021-04-28
1805,5,180,2020-06-08,Cancelado,2020-08-24
1803,3,180,2020-05-25,Finalizado,2020-09-28
1815,5,181,2020-06-08,Evadido,2020-10-06
1825,5,182,2020-06-08,Trancado,2020-08-01
1821,1,182,2021-06-14,Evadido,2021-07-21
1831,1,183,2021-06-14,Trancado,2021-07-19
1845,5,184,2020-06-08,Trancado,2020-08-26
1841,1,184,2021-06-14,Finalizado,2021-11-01
1851,1,185,2021-06-14,Evadido,2021-09-01
1861,1,186,2021-06-14,Evadido,2021-09-30
1872,2,187,2021-03-08,Finalizado,2021-06-21
1874,4,187,2021-03-01,Finalizado,2021-06-21
1881,1,188,2021-06-14,Evadido,2021-09-30
1883,3,188,2020-05-25,Finalizado,2020-09-28
1892,2,189,2021-03-08,Finalizado,2021-06-21
1905,5,190,2020-06-08,Evadido,2020-07-10
1913,3,191,2020-05-25,Evadido,2020-08-17
1925,5,192,2020-06-08,Trancado,2020-07-15
1931,1,193,2021-06-14,Finalizado,2021-11-01
1933,3,193,2020-05-25,Finalizado,2020-09-28
1941,1,194,2021-06-14,Finalizado,2021-11-01
1943,3,194,2020-05-25,Evadido,2020-06-11
1951,1,195,2021-06-14,Finalizado,2021-11-01
1955,5,195,2020-06-08,Evadido,2020-06-17
1963,3,196,2020-05-25,Finalizado,2020-09-28
1973,3,197,2020-05-25,Evadido,2020-08-02
1983,3,198,2020-05-25,Finalizado,2020-09-28
1984,4,198,2021-03-01,Evadido,2021-04-25
1993,3,199,2020-05-25,Finalizado,2020-09-28
1995,5,199,2020-06-08,Finalizado,2020-10-12
2001,1,200,2021-06-14,Finalizado,2021-11-01
2011,1,201,2021-06-14,Finalizado,2021-11-01
2015,5,201,2020-06-08,Finalizado,2020-10-12
2023,3,202,2020-05-25,Finalizado,2020-09-28
2032,2,203,2021-03-08,,2021-03-19
2034,4,203,2021-03-01,Trancado,2021-06-11
2045,5,204,2020-06-08,Evadido,2020-08-26
2051,1,205,2021-06-14,Finalizado,2021-11-01
2062,2,206,2021-03-08,Finalizado,2021-06-21
2064,4,206,2021-03-01,Finalizado,2021-06-21
2075,5,207,2020-06-08,Evadido,2020-07-14
2092,2,209,2021-03-08,Finalizado,2021-06-21
2101,1,210,2021-06-14,Trancado,2021-08-24
2113,3,211,2020-05-25,Finalizado,2020-09-28
2121,1,212,2021-06-14,Evadido,2021-09-24
2135,5,213,2020-06-08,Finalizado,2020-10-12
2131,1,213,2021-06-14,Finalizado,2021-11-01
2141,1,214,2021-06-14,Finalizado,2021-11-01
2143,3,214,2020-05-25,Evadido,2020-08-05
2151,1,215,2021-06-14,Finalizado,2021-11-01
2161,1,216,2021-06-14,Trancado,2021-10-24
2174,4,217,2021-03-01,Evadido,2021-03-19
2172,2,217,2021-03-08,Finalizado,2021-06-21
2185,5,218,2020-06-08,Finalizado,2020-10-12
2182,2,218,2021-03-08,Evadido,2021-05-03
2195,5,219,2020-06-08,Finalizado,2020-10-12
2194,4,219,2021-03-01,Finalizado,2021-06-21
2201,1,220,2021-06-14,Trancado,2021-08-20
2214,4,221,2021-03-01,Finalizado,2021-06-21
2212,2,221,2021-03-08,Finalizado,2021-06-21
2232,2,223,2021-03-08,Finalizado,2021-06-21
2243,3,224,2020-05-25,Evadido,2020-06-06
2241,1,224,2021-06-14,Cancelado,2021-06-21
2255,5,225,2020-06-08,Finalizado,2020-10-12
2254,4,225,2021-03-01,Finalizado,2021-06-21
2265,5,226,2020-06-08,Finalizado,2020-10-12
2262,2,226,2021-03-08,Cancelado,2021-05-15
2271,1,227,2021-06-14,Finalizado,2021-11-01
2274,4,227,2021-03-01,Finalizado,2021-06-21
2281,1,228,2021-06-14,Finalizado,2021-11-01
2291,1,229,2021-06-14,Finalizado,2021-11-01
2293,3,229,2020-05-25,Evadido,2020-09-10
2305,5,230,2020-06-08,Finalizado,2020-10-12
2311,1,231,2021-06-14,Evadido,2021-09-06
2315,5,231,2020-06-08,Finalizado,2020-10-12
2322,2,232,2021-03-08,Finalizado,2021-06-21
2334,4,233,2021-03-01,Finalizado,2021-06-21
2343,3,234,2020-05-25,Trancado,2020-07-10
2353,3,235,2020-05-25,Finalizado,2020-09-28
2351,1,235,2021-06-14,Finalizado,2021-11-01
2362,2,236,2021-03-08,Finalizado,2021-06-21
2373,3,237,2020-05-25,Evadido,2020-06-23
2385,5,238,2020-06-08,Trancado,2020-06-08
2384,4,238,2021-03-01,Evadido,2021-03-12
2394,4,239,2021-03-01,Evadido,2021-06-01
2401,1,240,2021-06-14,Finalizado,2021-11-01
2415,5,241,2020-06-08,Finalizado,2020-10-12
2423,3,242,2020-05-25,Finalizado,2020-09-28
2422,2,242,2021-03-08,Finalizado,2021-06-21
2433,3,243,2020-05-25,Evadido,2020-08-21
2435,5,243,2020-06-08,Trancado,2020-10-05
2441,1,244,2021-06-14,Finalizado,2021-11-01
2442,2,244,2021-03-08,Finalizado,2021-06-21
2451,1,245,2021-06-14,Finalizado,2021-11-01
2452,2,245,2021-03-08,Finalizado,2021-06-21
2463,3,246,2020-05-25,Finalizado,2020-09-28
2483,3,248,2020-05-25,Finalizado,2020-09-28
2484,4,248,2021-03-01,Evadido,2021-06-20
2514,4,251,2021-03-01,Finalizado,2021-06-21
2524,4,252,2021-03-01,Evadido,2021-06-02
2522,2,252,2021-03-08,Evadido,2021-04-06
2532,2,253,2021-03-08,Evadido,2021-05-27
2545,5,254,2020-06-08,Trancado,2020-06-10
2554,4,255,2021-03-01,Finalizado,2021-06-21
2561,1,256,2021-06-14,Finalizado,2021-11-01
2571,1,257,2021-06-14,Finalizado,2021-11-01
2575,5,257,2020-06-08,Finalizado,2020-10-12
2582,2,258,2021-03-08,Finalizado,2021-06-21
2583,3,258,2020-05-25,Finalizado,2020-09-28
2604,4,260,2021-03-01,Evadido,2021-06-10
2621,1,262,2021-06-14,Finalizado,2021-11-01
2623,3,262,2020-05-25,Finalizado,2020-09-28
2635,5,263,2020-06-08,Finalizado,2020-10-12
2644,4,264,2021-03-01,Trancado,2021-03-17
2642,2,264,2021-03-08,Finalizado,2021-06-21
2653,3,265,2020-05-25,Trancado,2020-09-03
2652,2,265,2021-03-08,Finalizado,2021-06-21
2674,4,267,2021-03-01,Evadido,2021-06-17
2675,5,267,2020-06-08,Evadido,2020-07-03
2685,5,268,2020-06-08,Finalizado,2020-10-12
2684,4,268,2021-03-01,Finalizado,2021-06-21
2691,1,269,2021-06-14,Finalizado,2021-11-01
2703,3,270,2020-05-25,Finalizado,2020-09-28
2705,5,270,2020-06-08,Finalizado,2020-10-12
2715,5,271,2020-06-08,Finalizado,2020-10-12
2713,3,271,2020-05-25,Finalizado,2020-09-28
2725,5,272,2020-06-08,Finalizado,2020-10-12
2734,4,273,2021-03-01,Evadido,2021-06-09
2732,2,273,2021-03-08,Evadido,2021-04-13
2742,2,274,2021-03-08,Finalizado,2021-06-21
2751,1,275,2021-06-14,Evadido,2021-10-04
2763,3,276,2020-05-25,Finalizado,2020-09-28
2775,5,277,2020-06-08,Finalizado,2020-10-12
2784,4,278,2021-03-01,Finalizado,2021-06-21
2783,3,278,2020-05-25,Evadido,2020-07-12
2802,2,280,2021-03-08,Finalizado,2021-06-21
2803,3,280,2020-05-25,Finalizado,2020-09-28
2812,2,281,2021-03-08,Finalizado,2021-06-21
2811,1,281,2021-06-14,Finalizado,2021-11-01
2821,1,282,2021-06-14,Finalizado,2021-11-01
2825,5,282,2020-06-08,Finalizado,2020-10-12
2835,5,283,2020-06-08,Finalizado,2020-10-12
2843,3,284,2020-05-25,Trancado,2020-05-31
2854,4,285,2021-03-01,Evadido,2021-04-23
2863,3,286,2020-05-25,Finalizado,2020-09-28
2875,5,287,2020-06-08,Finalizado,2020-10-12
2893,3,289,2020-05-25,Trancado,2020-09-20
2903,3,290,2020-05-25,Finalizado,2020-09-28
2904,4,290,2021-03-01,Evadido,2021-04-02
2935,5,293,2020-06-08,Evadido,2020-08-29
2943,3,294,2020-05-25,Finalizado,2020-09-28
2942,2,294,2021-03-08,Evadido,2021-03-21
2951,1,295,2021-06-14,Finalizado,2021-11-01
2964,4,296,2021-03-01,Evadido,2021-04-19
2974,4,297,2021-03-01,Evadido,2021-03-25
2975,5,297,2020-06-08,Evadido,2020-10-10
2985,5,298,2020-06-08,Trancado,2020-07-16
2982,2,298,2021-03-08,Finalizado,2021-06-21
3012,2,301,2021-03-08,Finalizado,2021-06-21
3025,5,302,2020-06-08,Finalizado,2020-10-12
3021,1,302,2021-06-14,Finalizado,2021-11-01
3034,4,303,2021-03-01,Finalizado,2021-06-21
3031,1,303,2021-06-14,Finalizado,2021-11-01
3045,5,304,2020-06-08,,2020-07-31
3042,2,304,2021-03-08,Evadido,2021-04-05
3065,5,306,2020-06-08,Evadido,2020-09-28
3064,4,306,2021-03-01,Finalizado,2021-06-21
3073,3,307,2020-05-25,Finalizado,2020-09-28
3072,2,307,2021-03-08,Trancado,2021-06-16
3084,4,308,2021-03-01,Finalizado,2021-06-21
3081,1,308,2021-06-14,Finalizado,2021-11-01
3093,3,309,2020-05-25,Finalizado,2020-09-28
3094,4,309,2021-03-01,Finalizado,2021-06-21
3104,4,310,2021-03-01,Finalizado,2021-06-21
3113,3,311,2020-05-25,Finalizado,2020-09-28
3121,1,312,2021-06-14,Finalizado,2021-11-01
3142,2,314,2021-03-08,Finalizado,2021-06-21
3145,5,314,2020-06-08,Evadido,2020-09-15
3154,4,315,2021-03-01,Evadido,2021-04-20
3151,1,315,2021-06-14,Finalizado,2021-11-01
3161,1,316,2021-06-14,Finalizado,2021-11-01
3175,5,317,2020-06-08,Finalizado,2020-10-12
3183,3,318,2020-05-25,Finalizado,2020-09-28
3191,1,319,2021-06-14,Finalizado,2021-11-01
3193,3,319,2020-05-25,Finalizado,2020-09-28
3205,5,320,2020-06-08,Evadido,2020-07-05
3214,4,321,2021-03-01,Finalizado,2021-06-21
3213,3,321,2020-05-25,Evadido,2020-09-28
3223,3,322,2020-05-25,Finalizado,2020-09-28
3243,3,324,2020-05-25,Evadido,2020-08-03
3262,2,326,2021-03-08,Finalizado,2021-06-21
3272,2,327,2021-03-08,Evadido,2021-06-09
3275,5,327,2020-06-08,Evadido,2020-08-17
3284,4,328,2021-03-01,Finalizado,2021-06-21
3294,4,329,2021-03-01,Finalizado,2021-06-21
3293,3,329,2020-05-25,Finalizado,2020-09-28
3321,1,332,2021-06-14,Evadido,2021-10-10
3335,5,333,2020-06-08,Evadido,2020-06-16
3334,4,333,2021-03-01,Finalizado,2021-06-21
3345,5,334,2020-06-08,Evadido,2020-09-20
3341,1,334,2021-06-14,Evadido,2021-10-27
3352,2,335,2021-03-08,Finalizado,2021-06-21
3351,1,335,2021-06-14,Finalizado,2021-11-01
3365,5,336,2020-06-08,Evadido,2020-08-06
3375,5,337,2020-06-08,Evadido,2020-09-12
3374,4,337,2021-03-01,Finalizado,2021-06-21
3384,4,338,2021-03-01,Finalizado,2021-06-21
3404,4,340,2021-03-01,Finalizado,2021-06-21
3403,3,340,2020-05-25,Finalizado,2020-09-28
3412,2,341,2021-03-08,Finalizado,2021-06-21
3425,5,342,2020-06-08,Finalizado,2020-10-12
3422,2,342,2021-03-08,Finalizado,2021-06-21
3434,4,343,2021-03-01,Evadido,2021-05-26
3433,3,343,2020-05-25,Finalizado,2020-09-28
3444,4,344,2021-03-01,Finalizado,2021-06-21
3443,3,344,2020-05-25,Finalizado,2020-09-28
3455,5,345,2020-06-08,Finalizado,2020-10-12
3461,1,346,2021-06-14,Evadido,2021-10-25
3463,3,346,2020-05-25,Finalizado,2020-09-28
3475,5,347,2020-06-08,Finalizado,2020-10-12
3474,4,347,2021-03-01,Finalizado,2021-06-21
3484,4,348,2021-03-01,Evadido,2021-05-29
3495,5,349,2020-06-08,Finalizado,2020-10-12
3491,1,349,2021-06-14,Finalizado,2021-11-01
3505,5,350,2020-06-08,Trancado,2020-09-13
3512,2,351,2021-03-08,Evadido,2021-03-28
3522,2,352,2021-03-08,Finalizado,2021-06-21
3525,5,352,2020-06-08,Finalizado,2020-10-12
3543,3,354,2020-05-25,Evadido,2020-07-21
3564,4,356,2021-03-01,Finalizado,2021-06-21
3573,3,357,2020-05-25,Evadido,2020-07-10
3574,4,357,2021-03-01,Cancelado,2021-05-29
3581,1,358,2021-06-14,Finalizado,2021-11-01
3582,2,358,2021-03-08,Finalizado,2021-06-21
3594,4,359,2021-03-01,Evadido,2021-06-14
3602,2,360,2021-03-08,Finalizado,2021-06-21
3611,1,361,2021-06-14,Trancado,2021-06-14
3612,2,361,2021-03-08,Finalizado,2021-06-21
3625,5,362,2020-06-08,Evadido,2020-08-10
3644,4,364,2021-03-01,Evadido,2021-03-12
3654,4,365,2021-03-01,Finalizado,2021-06-21
3665,5,366,2020-06-08,Evadido,2020-10-09
3661,1,366,2021-06-14,Finalizado,2021-11-01
3672,2,367,2021-03-08,Evadido,2021-06-14
3674,4,367,2021-03-01,Finalizado,2021-06-21
3684,4,368,2021-03-01,Finalizado,2021-06-21
3693,3,369,2020-05-25,Evadido,2020-09-17
3692,2,369,2021-03-08,Finalizado,2021-06-21
3702,2,370,2021-03-08,Finalizado,2021-06-21
3703,3,370,2020-05-25,Finalizado,2020-09-28
3725,5,372,2020-06-08,Finalizado,2020-10-12
3722,2,372,2021-03-08,Evadido,2021-06-12
3734,4,373,2021-03-01,Cancelado,2021-04-18
3735,5,373,2020-06-08,Finalizado,2020-10-12
3741,1,374,2021-06-14,Finalizado,2021-11-01
3744,4,374,2021-03-01,Evadido,2021-04-03
3752,2,375,2021-03-08,Finalizado,2021-06-21
3764,4,376,2021-03-01,Finalizado,2021-06-21
3775,5,377,2020-06-08,Finalizado,2020-10-12
3781,1,378,2021-06-14,Finalizado,2021-11-01
3795,5,379,2020-06-08,Finalizado,2020-10-12
3794,4,379,2021-03-01,Finalizado,2021-06-21
3805,5,380,2020-06-08,Evadido,2020-07-22
3815,5,381,2020-06-08,Evadido,2020-07-04
3813,3,381,2020-05-25,Trancado,2020-07-10
3823,3,382,2020-05-25,Evadido,2020-08-13
3834,4,383,2021-03-01,Finalizado,2021-06-21
3845,5,384,2020-06-08,Finalizado,2020-10-12
3854,4,385,2021-03-01,Finalizado,2021-06-21
3862,2,386,2021-03-08,Cancelado,2021-05-23
3875,5,387,2020-06-08,Evadido,2020-07-02
3874,4,387,2021-03-01,Evadido,2021-04-25
3884,4,388,2021-03-01,Evadido,2021-04-22
3891,1,389,2021-06-14,Finalizado,2021-11-01
3902,2,390,2021-03-08,Evadido,2021-05-14
3901,1,390,2021-06-14,Finalizado,2021-11-01
3911,1,391,2021-06-14,Evadido,2021-09-25
3933,3,393,2020-05-25,Finalizado,2020-09-28
3932,2,393,2021-03-08,Finalizado,2021-06-21
3943,3,394,2020-05-25,Finalizado,2020-09-28
3945,5,394,2020-06-08,Evadido,2020-08-18
3951,1,395,2021-06-14,Evadido,2021-08-22
3954,4,395,2021-03-01,Finalizado,2021-06-21
3962,2,396,2021-03-08,Finalizado,2021-06-21
3972,2,397,2021-03-08,Finalizado,2021-06-21
3975,5,397,2020-06-08,Evadido,2020-08-15
3981,1,398,2021-06-14,Finalizado,2021-11-01
3993,3,399,2020-05-25,Evadido,2020-07-24
