id_matricula,id_disciplina,data,nota
143,304,2020-08-20,8.85
143,304,2020-08-20,15
143,305,2020-05-29,8.59
143,305,2020-07-10,8.03
143,305,2020-08-21,8.04
152,201,2021-03-15,7.84
152,201,2021-04-19,7.18
152,201,2021-05-24,6.24
152,202,2021-03-09,6.22
152,202,2021-04-13,6.17
152,202,2021-05-18,6.25
152,203,2021-03-10,7.75
152,203,2021-04-14,6.79
152,203,2021-05-19,7.47
152,204,2021-03-11,6.86
152,204,2021-04-29,6.82
152,205,2021-03-12,7.83
152,205,2021-04-30,7.19
152,206,2021-03-13,7.82
152,206,2021-05-01,7.31
165,501,2020-06-15,8.5
165,501,2020-07-27,8.47
165,501,2020-09-07,8.61
165,502,2020-06-09,8.15
165,502,2020-08-11,8.12
165,503,2020-06-10,8.22
165,503,2020-08-12,8.16
165,504,2020-06-11,8.41
165,504,2020-07-23,8.58
165,504,2020-09-03,8.24
165,505,2020-06-12,8.1
165,505,2020-07-24,9.0
165,505,2020-09-04,8.5
162,201,2021-03-15,9.0
162,201,2021-04-19,8.51
162,201,2021-05-24,8.46
162,202,2021-03-09,8.43
162,202,2021-04-13,8.1
162,202,2021-05-18,8.15
162,203,2021-03-10,8.96
162,203,2021-04-14,8.67
162,203,2021-05-19,8.11
162,204,2021-03-11,8.32
162,204,2021-04-29,8.16
162,205,2021-03-12,8.57
162,205,2021-04-30,8.95
162,206,2021-03-13,8.17
162,206,2021-05-01,8.82
171,101,2021-06-21,9.1
171,101,2021-08-02,9.36
171,101,2021-09-13,9.5
171,102,2021-06-15,9.68
171,102,2021-08-24,9.53
171,103,2021-06-16,9.95
171,103,2021-08-25,9.07
171,104,2021-06-17,9.01
171,104,2021-07-29,9.1
171,104,2021-09-09,9.52
171,105,2021-06-18,9.86
171,105,2021-07-30,9.85
171,105,2021-09-10,9.85
181,101,2021-06-21,8.93
181,101,2021-08-02,8.59
181,101,2021-09-13,8.34
181,102,2021-06-15,8.33
181,102,2021-08-24,8.59
181,103,2021-06-16,8.8
181,103,2021-08-25,8.13
181,104,2021-06-17,8.77
181,104,2021-07-29,8.8
181,104,2021-09-09,8.84
181,105,2021-06-18,8.16
181,105,2021-07-30,8.47
181,105,2021-09-10,8.27
191,101,2021-06-21,8.78
191,101,2021-08-02,
191,101,2021-09-13,
191,102,2021-06-15,8.79
191,102,2021-08-24,
191,103,2021-06-16,8.54
191,103,2021-08-25,
191,104,2021-06-17,8.76
191,104,2021-07-29,
191,104,2021-09-09,
191,105,2021-06-18,8.53
191,105,2021-07-30,
191,105,2021-09-10,
195,501,2020-06-15,8.14
195,501,2020-07-27,8.98
195,501,2020-09-07,8.87
195,502,2020-06-09,8.11
195,502,2020-08-11,8.71
195,503,2020-06-10,8.75
195,503,2020-08-12,8.15
195,504,2020-06-11,8.11
195,504,2020-07-23,8.38
195,504,2020-09-03,8.88
195,505,2020-06-12,8.7
195,505,2020-07-24,8.25
195,505,2020-09-04,8.84
202,201,2021-03-15,8.5
202,201,2021-04-19,8.94
202,201,2021-05-24,8.51
202,202,2021-03-09,8.54
202,202,2021-04-13,8.96
202,202,2021-05-18,8.99
202,203,2021-03-10,8.78
202,203,2021-04-14,8.37
202,203,2021-05-19,8.08
202,204,2021-03-11,8.34
202,204,2021-04-29,8.57
202,205,2021-03-12,8.85
202,205,2021-04-30,8.67
202,206,2021-03-13,8.24
202,206,2021-05-01,8.72
214,401,2021-03-08,6.47
214,401,2021-04-12,6.17
214,401,2021-05-17,7.07
214,402,2021-03-02,6.33
214,402,2021-04-27,6.87
214,403,2021-03-03,7.65
214,403,2021-04-28,6.59
214,404,2021-03-04,6.98
214,404,2021-04-08,7.23
214,404,2021-05-13,7.27
214,405,2021-03-05,7.93
214,405,2021-04-09,6.45
214,405,2021-05-14,6.62
222,201,2021-03-15,9.21
222,201,2021-04-19,
222,201,2021-05-24,
222,202,2021-03-09,9.14
222,202,2021-04-13,9.32
222,202,2021-05-18,
222,203,2021-03-10,9.6
222,203,2021-04-14,
222,203,2021-05-19,
222,204,2021-03-11,9.44
222,204,2021-04-29,
222,205,2021-03-12,9.29
222,205,2021-04-30,
222,206,2021-03-13,9.22
222,206,2021-05-01,
231,101,2021-06-21,7.54
231,101,2021-08-02,7.43
231,101,2021-09-13,6.94
231,102,2021-06-15,7.51
231,102,2021-08-24,6.55
231,103,2021-06-16,7.26
231,103,2021-08-25,7.99
231,104,2021-06-17,7.37
231,104,2021-07-29,7.07
231,104,2021-09-09,6.71
231,105,2021-06-18,7.27
231,105,2021-07-30,7.79
231,105,2021-09-10,6.6
244,401,2021-03-08,7.78
244,401,2021-04-12,6.46
244,401,2021-05-17,7.13
244,402,2021-03-02,6.2
244,402,2021-04-27,6.64
244,403,2021-03-03,7.35
244,403,2021-04-28,6.57
244,404,2021-03-04,7.42
244,404,2021-04-08,6.52
244,404,2021-05-13,7.76
244,405,2021-03-05,7.08
244,405,2021-04-09,7.9
244,405,2021-05-14,6.64
242,201,2021-03-15,6.99
242,201,2021-04-19,6.61
242,201,2021-05-24,
242,202,2021-03-09,6.8
242,202,2021-04-13,6.61
242,202,2021-05-18,
242,203,2021-03-10,6.56
242,203,2021-04-14,6.07
242,203,2021-05-19,
242,204,2021-03-11,6.92
242,204,2021-04-29,
242,205,2021-03-12,6.46
242,205,2021-04-30,
242,206,2021-03-13,7.5
242,206,2021-05-01,
252,201,2021-03-15,6.15
252,201,2021-04-19,6.15
252,201,2021-05-24,6.13
252,202,2021-03-09,7.58
252,202,2021-04-13,6.36
252,202,2021-05-18,6.78
252,203,2021-03-10,7.2
252,203,2021-04-14,7.1
252,203,2021-05-19,7.87
252,204,2021-03-11,7.79
252,204,2021-04-29,6.74
252,205,2021-03-12,6.15
252,205,2021-04-30,6.47
252,206,2021-03-13,7.81
252,206,2021-05-01,6.72
263,301,2020-06-01,
263,301,2020-07-13,
263,301,2020-08-24,
263,302,2020-05-26,9.8
263,302,2020-07-28,
263,303,2020-05-27,
263,303,2020-07-29,
263,304,2020-05-28,
263,304,2020-07-09,
263,304,2020-08-20,
263,305,2020-05-29,
263,305,2020-07-10,
263,305,2020-08-21,
273,301,2020-06-01,6.25
273,301,2020-07-13,7.71
273,301,2020-08-24,6.49
273,302,2020-05-26,7.89
273,302,2020-07-28,6.52
273,303,2020-05-27,7.09
273,303,2020-07-29,7.89
273,304,2020-05-28,6.2
273,304,2020-07-09,7.4
273,304,2020-08-20,7.46
273,305,2020-05-29,7.1
273,305,2020-07-10,7.53
273,305,2020-08-21,6.86
274,401,2021-03-08,6.61
274,401,2021-04-12,6.14
274,401,2021-05-17,7.19
274,402,2021-03-02,6.55
274,402,2021-04-27,7.27
274,403,2021-03-03,7.59
274,403,2021-04-28,7.69
274,404,2021-03-04,7.27
274,404,2021-04-08,6.57
274,404,2021-05-13,7.3
274,405,2021-03-05,6.37
274,405,2021-04-09,7.04
274,405,2021-05-14,7.26
283,301,2020-06-01,8.99
283,301,2020-07-13,8.56
283,301,2020-08-24,
283,302,2020-05-26,8.94
283,302,2020-07-28,8.61
283,303,2020-05-27,8.51
283,303,2020-07-29,8.66
283,304,2020-05-28,8.03
283,304,2020-07-09,8.48
283,304,2020-08-20,
283,305,2020-05-29,8.88
283,305,2020-07-10,8.7
283,305,2020-08-21,
292,201,2021-03-15,5.96
292,201,2021-04-19,1.78
292,201,2021-05-24,
292,202,2021-03-09,4.42
292,202,2021-04-13,1.93
292,202,2021-05-18,
292,203,2021-03-10,5.87
292,203,2021-04-14,4.58
292,203,2021-05-19,
292,204,2021-03-11,2.35
292,204,2021-04-29,4.43
292,205,2021-03-12,0.18
292,205,2021-04-30,4.84
292,206,2021-03-13,3.57
292,206,2021-05-01,5.61
291,101,2021-06-21,4.06
291,101,2021-08-02,2.89
291,101,2021-09-13,5.89
291,102,2021-06-15,2.86
291,102,2021-08-24,2.58
291,103,2021-06-16,4.81
291,103,2021-08-25,1.82
291,104,2021-06-17,0.59
291,104,2021-07-29,0.24
291,104,2021-09-09,3.2
291,105,2021-06-18,5.49
291,105,2021-07-30,0.02
291,105,2021-09-10,4.58
315,501,2020-06-15,6.89
315,501,2020-07-27,7.64
315,501,2020-09-07,7.33
315,502,2020-06-09,6.44
315,502,2020-08-11,6.96
315,503,2020-06-10,6.2
315,503,2020-08-12,6.92
315,504,2020-06-11,7.7
315,504,2020-07-23,7.48
315,504,2020-09-03,6.05
315,505,2020-06-12,7.71
315,505,2020-07-24,6.42
315,505,2020-09-04,6.27
312,201,2021-03-15,6.34
312,201,2021-04-19,6.09
312,201,2021-05-24,7.84
312,202,2021-03-09,6.07
312,202,2021-04-13,6.39
312,202,2021-05-18,7.73
312,203,2021-03-10,7.09
312,203,2021-04-14,6.98
312,203,2021-05-19,6.83
312,204,2021-03-11,6.78
312,204,2021-04-29,6.33
312,205,2021-03-12,7.84
312,205,2021-04-30,6.83
312,206,2021-03-13,6.23
312,206,2021-05-01,6.12
322,201,2021-03-15,6.01
322,201,2021-04-19,6.46
322,201,2021-05-24,6.33
322,202,2021-03-09,6.69
322,202,2021-04-13,7.03
322,202,2021-05-18,6.35
322,203,2021-03-10,7.75
322,203,2021-04-14,7.93
322,203,2021-05-19,6.22
322,204,2021-03-11,7.85
322,204,2021-04-29,7.93
322,205,2021-03-12,6.49
322,205,2021-04-30,7.58
322,206,2021-03-13,7.34
322,206,2021-05-01,6.92
334,401,2021-03-08,1.63
334,401,2021-04-12,2.71
334,401,2021-05-17,3.47
334,402,2021-03-02,3.79
334,402,2021-04-27,4.01
334,403,2021-03-03,5.37
334,403,2021-04-28,2.58
334,404,2021-03-04,4.39
334,404,2021-04-08,3.77
334,404,2021-05-13,5.6
334,405,2021-03-05,3.66
334,405,2021-04-09,2.89
334,405,2021-05-14,3.81
332,201,2021-03-15,0.66
332,201,2021-04-19,5.64
332,201,2021-05-24,4.01
332,202,2021-03-09,0.09
332,202,2021-04-13,3.46
332,202,2021-05-18,1.94
332,203,2021-03-10,5.92
332,203,2021-04-14,1.97
332,203,2021-05-19,3.79
332,204,2021-03-11,1.58
332,204,2021-04-29,5.41
332,205,2021-03-12,2.93
332,205,2021-04-30,2.61
332,206,2021-03-13,5.21
332,206,2021-05-01,3.84
345,501,2020-06-15,0.66
345,501,2020-07-27,5.96
345,501,2020-09-07,
345,502,2020-06-09,1.28
345,502,2020-08-11,2.77
345,503,2020-06-10,5.36
345,503,2020-08-12,
345,504,2020-06-11,2.63
345,504,2020-07-23,2.1
345,504,2020-09-03,
345,505,2020-06-12,1.84
345,505,2020-07-24,0.27
345,505,2020-09-04,
351,101,2021-06-21,1.31
351,101,2021-08-02,2.05
351,101,2021-09-13,3.52
351,102,2021-06-15,4.39
351,102,2021-08-24,4.26
351,103,2021-06-16,4.26
351,103,2021-08-25,1.6
351,104,2021-06-17,2.42
351,104,2021-07-29,1.92
351,104,2021-09-09,1.78
351,105,2021-06-18,4.96
351,105,2021-07-30,0.8
351,105,2021-09-10,0.32
365,501,2020-06-15,4.19
365,501,2020-07-27,2.7
365,501,2020-09-07,
365,502,2020-06-09,3.57
365,502,2020-08-11,3.6
365,503,2020-06-10,2.36
365,503,2020-08-12,2.51
365,504,2020-06-11,3.16
365,504,2020-07-23,3.17
365,504,2020-09-03,
365,505,2020-06-12,3.46
365,505,2020-07-24,0.55
365,505,2020-09-04,
371,101,2021-06-21,7.76
371,101,2021-08-02,
371,101,2021-09-13,
371,102,2021-06-15,6.46
371,102,2021-08-24,
371,103,2021-06-16,6.94
371,103,2021-08-25,
371,104,2021-06-17,6.06
371,104,2021-07-29,
371,104,2021-09-09,
371,105,2021-06-18,7.57
371,105,2021-07-30,
371,105,2021-09-10,
375,501,2020-06-15,6.79
375,501,2020-07-27,6.62
375,501,2020-09-07,6.78
375,502,2020-06-09,7.56
375,502,2020-08-11,6.63
375,503,2020-06-10,7.38
375,503,2020-08-12,7.54
375,504,2020-06-11,6.51
375,504,2020-07-23,6.89
375,504,2020-09-03,7.51
375,505,2020-06-12,7.7
375,505,2020-07-24,6.06
375,505,2020-09-04,7.68
381,101,2021-06-21,6.22
381,101,2021-08-02,6.23
381,101,2021-09-13,7.55
381,102,2021-06-15,6.71
381,102,2021-08-24,7.43
381,103,2021-06-16,7.48
381,103,2021-08-25,7.03
381,104,2021-06-17,6.12
381,104,2021-07-29,7.39
381,104,2021-09-09,6.4
381,105,2021-06-18,7.62
381,105,2021-07-30,7.06
381,105,2021-09-10,7.98
384,401,2021-03-08,7.76
384,401,2021-04-12,6.77
384,401,2021-05-17,6.04
384,402,2021-03-02,6.41
384,402,2021-04-27,7.33
384,403,2021-03-03,6.43
384,403,2021-04-28,6.21
384,404,2021-03-04,7.7
384,404,2021-04-08,6.54
384,404,2021-05-13,6.11
384,405,2021-03-05,6.97
384,405,2021-04-09,6.79
384,405,2021-05-14,6.69
393,301,2020-06-01,7.24
393,301,2020-07-13,6.61
393,301,2020-08-24,7.09
393,302,2020-05-26,7.99
393,302,2020-07-28,6.32
393,303,2020-05-27,6.32
393,303,2020-07-29,7.54
393,304,2020-05-28,6.98
393,304,2020-07-09,7.08
393,304,2020-08-20,7.12
393,305,2020-05-29,6.74
393,305,2020-07-10,7.2
393,305,2020-08-21,6.12
401,101,2021-06-21,1.72
401,101,2021-08-02,
401,101,2021-09-13,
401,102,2021-06-15,4.76
401,102,2021-08-24,
401,103,2021-06-16,3.87
401,103,2021-08-25,
401,104,2021-06-17,3.75
401,104,2021-07-29,
401,104,2021-09-09,
401,105,2021-06-18,5.05
401,105,2021-07-30,
401,105,2021-09-10,
403,301,2020-06-01,1.76
403,301,2020-07-13,0.27
403,301,2020-08-24,4.52
403,302,2020-05-26,3.82
403,302,2020-07-28,4.2
403,303,2020-05-27,1.63
403,303,2020-07-29,5.85
403,304,2020-05-28,1.23
403,304,2020-07-09,1.94
403,304,2020-08-20,2.12
403,305,2020-05-29,4.0
403,305,2020-07-10,1.92
403,305,2020-08-21,3.65
412,201,2021-03-15,8.89
412,201,2021-04-19,8.3
412,201,2021-05-24,8.5
412,202,2021-03-09,8.13
412,202,2021-04-13,8.38
412,202,2021-05-18,8.2
412,203,2021-03-10,8.68
412,203,2021-04-14,8.46
412,203,2021-05-19,8.89
412,204,2021-03-11,8.84
412,204,2021-04-29,8.08
412,205,2021-03-12,8.31
412,205,2021-04-30,8.28
412,206,2021-03-13,8.55
412,206,2021-05-01,8.52
414,401,2021-03-08,8.84
414,401,2021-04-12,8.48
414,401,2021-05-17,8.54
414,402,2021-03-02,8.62
414,402,2021-04-27,8.69
414,403,2021-03-03,8.51
414,403,2021-04-28,8.09
414,404,2021-03-04,8.05
414,404,2021-04-08,8.12
414,404,2021-05-13,8.03
414,405,2021-03-05,8.24
414,405,2021-04-09,8.1
414,405,2021-05-14,8.99
424,401,2021-03-08,7.72
424,401,2021-04-12,7.84
424,401,2021-05-17,7.83
424,402,2021-03-02,8.0
424,402,2021-04-27,7.11
424,403,2021-03-03,7.16
424,403,2021-04-28,6.76
424,404,2021-03-04,7.94
424,404,2021-04-08,7.57
424,404,2021-05-13,7.3
424,405,2021-03-05,7.49
424,405,2021-04-09,7.37
424,405,2021-05-14,6.4
422,201,2021-03-15,7.72
422,201,2021-04-19,6.69
422,201,2021-05-24,6.57
422,202,2021-03-09,6.3
422,202,2021-04-13,7.06
422,202,2021-05-18,6.23
422,203,2021-03-10,7.53
422,203,2021-04-14,7.03
422,203,2021-05-19,7.94
422,204,2021-03-11,7.56
422,204,2021-04-29,6.96
422,205,2021-03-12,6.97
422,205,2021-04-30,7.75
422,206,2021-03-13,7.39
422,206,2021-05-01,6.4
431,101,2021-06-21,8.49
431,101,2021-08-02,8.21
431,101,2021-09-13,
431,102,2021-06-15,8.4
431,102,2021-08-24,
431,103,2021-06-16,8.02
431,103,2021-08-25,
431,104,2021-06-17,8.42
431,104,2021-07-29,8.19
431,104,2021-09-09,
431,105,2021-06-18,8.58
431,105,2021-07-30,8.85
431,105,2021-09-10,
434,401,2021-03-08,8.73
434,401,2021-04-12,8.77
434,401,2021-05-17,8.96
434,402,2021-03-02,8.25
434,402,2021-04-27,8.9
434,403,2021-03-03,8.33
434,403,2021-04-28,8.82
434,404,2021-03-04,8.61
434,404,2021-04-08,8.13
434,404,2021-05-13,8.68
434,405,2021-03-05,8.63
434,405,2021-04-09,8.4
434,405,2021-05-14,8.06
444,401,2021-03-08,8.52
444,401,2021-04-12,8.9
444,401,2021-05-17,8.66
444,402,2021-03-02,8.36
444,402,2021-04-27,8.57
444,403,2021-03-03,8.91
444,403,2021-04-28,8.87
444,404,2021-03-04,8.18
444,404,2021-04-08,8.2
444,404,2021-05-13,8.18
444,405,2021-03-05,8.54
444,405,2021-04-09,8.46
444,405,2021-05-14,8.73
443,301,2020-06-01,8.51
443,301,2020-07-13,8.07
443,301,2020-08-24,8.71
443,302,2020-05-26,8.0
443,302,2020-07-28,8.24
443,303,2020-05-27,8.51
443,303,2020-07-29,8.75
443,304,2020-05-28,8.8
443,304,2020-07-09,8.06
443,304,2020-08-20,8.5
443,305,2020-05-29,8.4
443,305,2020-07-10,8.31
443,305,2020-08-21,8.13
453,301,2020-06-01,6.04
453,301,2020-07-13,6.38
453,301,2020-08-24,6.88
453,302,2020-05-26,6.0
453,302,2020-07-28,6.99
453,303,2020-05-27,7.25
453,303,2020-07-29,7.24
453,304,2020-05-28,7.26
453,304,2020-07-09,6.24
453,304,2020-08-20,6.3
453,305,2020-05-29,7.2
453,305,2020-07-10,7.41
453,305,2020-08-21,6.07
465,501,2020-06-15,7.92
465,501,2020-07-27,7.83
465,501,2020-09-07,6.52
465,502,2020-06-09,7.58
465,502,2020-08-11,6.76
465,503,2020-06-10,6.08
465,503,2020-08-12,6.11
465,504,2020-06-11,6.13
465,504,2020-07-23,6.1
465,504,2020-09-03,6.26
465,505,2020-06-12,6.12
465,505,2020-07-24,7.17
465,505,2020-09-04,7.13
485,501,2020-06-15,7.39
485,501,2020-07-27,7.45
485,501,2020-09-07,7.62
485,502,2020-06-09,7.55
485,502,2020-08-11,6.2
485,503,2020-06-10,6.45
485,503,2020-08-12,7.91
485,504,2020-06-11,7.29
485,504,2020-07-23,6.88
485,504,2020-09-03,6.33
485,505,2020-06-12,7.1
485,505,2020-07-24,7.1
485,505,2020-09-04,7.33
482,201,2021-03-15,7.51
482,201,2021-04-19,6.16
482,201,2021-05-24,6.98
482,202,2021-03-09,6.92
482,202,2021-04-13,6.4
482,202,2021-05-18,6.85
482,203,2021-03-10,6.66
482,203,2021-04-14,7.7
482,203,2021-05-19,7.83
482,204,2021-03-11,6.61
482,204,2021-04-29,6.22
482,205,2021-03-12,6.18
482,205,2021-04-30,7.63
482,206,2021-03-13,7.45
482,206,2021-05-01,6.47
495,501,2020-06-15,2.01
495,501,2020-07-27,0.86
495,501,2020-09-07,2.2
495,502,2020-06-09,1.55
495,502,2020-08-11,4.51
495,503,2020-06-10,4.57
495,503,2020-08-12,4.65
495,504,2020-06-11,5.07
495,504,2020-07-23,3.56
495,504,2020-09-03,5.86
495,505,2020-06-12,5.35
495,505,2020-07-24,3.94
495,505,2020-09-04,0.18
492,201,2021-03-15,0.96
492,201,2021-04-19,3.1
492,201,2021-05-24,4.11
492,202,2021-03-09,2.05
492,202,2021-04-13,0.01
492,202,2021-05-18,0.22
492,203,2021-03-10,5.56
492,203,2021-04-14,1.71
492,203,2021-05-19,2.31
492,204,2021-03-11,0.01
492,204,2021-04-29,3.35
492,205,2021-03-12,5.18
492,205,2021-04-30,3.48
492,206,2021-03-13,0.12
492,206,2021-05-01,0.79
505,501,2020-06-15,8.03
505,501,2020-07-27,8.55
505,501,2020-09-07,8.43
505,502,2020-06-09,8.75
505,502,2020-08-11,8.2
505,503,2020-06-10,8.78
505,503,2020-08-12,8.98
505,504,2020-06-11,8.65
505,504,2020-07-23,8.27
505,504,2020-09-03,8.45
505,505,2020-06-12,8.71
505,505,2020-07-24,8.2
505,505,2020-09-04,8.22
502,201,2021-03-15,8.32
502,201,2021-04-19,8.97
502,201,2021-05-24,8.79
502,202,2021-03-09,8.44
502,202,2021-04-13,8.39
502,202,2021-05-18,8.27
502,203,2021-03-10,8.27
502,203,2021-04-14,8.61
502,203,2021-05-19,8.46
502,204,2021-03-11,8.34
502,204,2021-04-29,8.59
502,205,2021-03-12,8.46
502,205,2021-04-30,8.04
502,206,2021-03-13,8.83
502,206,2021-05-01,8.1
513,301,2020-06-01,6.52
513,301,2020-07-13,7.76
513,301,2020-08-24,6.87
513,302,2020-05-26,6.18
513,302,2020-07-28,6.75
513,303,2020-05-27,6.24
513,303,2020-07-29,6.18
513,304,2020-05-28,7.23
513,304,2020-07-09,6.32
513,304,2020-08-20,6.44
513,305,2020-05-29,6.69
513,305,2020-07-10,6.08
513,305,2020-08-21,7.94
522,201,2021-03-15,0.67
522,201,2021-04-19,
522,201,2021-05-24,
522,202,2021-03-09,3.34
522,202,2021-04-13,3.32
522,202,2021-05-18,
522,203,2021-03-10,2.25
522,203,2021-04-14,5.82
522,203,2021-05-19,
522,204,2021-03-11,1.84
522,204,2021-04-29,
522,205,2021-03-12,1.32
522,205,2021-04-30,
522,206,2021-03-13,3.42
522,206,2021-05-01,
535,501,2020-06-15,6.16
535,501,2020-07-27,6.41
535,501,2020-09-07,7.72
535,502,2020-06-09,6.86
535,502,2020-08-11,6.96
535,503,2020-06-10,6.71
535,503,2020-08-12,7.02
535,504,2020-06-11,7.8
535,504,2020-07-23,6.82
535,504,2020-09-03,6.01
535,505,2020-06-12,7.86
535,505,2020-07-24,6.37
535,505,2020-09-04,7.85
532,201,2021-03-15,6.29
532,201,2021-04-19,6.71
532,201,2021-05-24,6.28
532,202,2021-03-09,6.11
532,202,2021-04-13,6.05
532,202,2021-05-18,7.96
532,203,2021-03-10,7.33
532,203,2021-04-14,6.46
532,203,2021-05-19,7.89
532,204,2021-03-11,7.4
532,204,2021-04-29,6.25
532,205,2021-03-12,7.33
532,205,2021-04-30,6.35
532,206,2021-03-13,7.31
532,206,2021-05-01,7.82
543,301,2020-06-01,2.44
543,301,2020-07-13,3.09
543,301,2020-08-24,5.71
543,302,2020-05-26,0.29
543,302,2020-07-28,0.63
543,303,2020-05-27,2.09
543,303,2020-07-29,1.53
